	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_100	9-TaxaFilter_100	10-MultipletonsFilter_100	11-Subsampling_100	12-Lulu_100
16S_52_r	46813	38697	38697	38697 (9623 uniques)	38384 (109 uniques)	37549 (100 uniques)	24275 (93 uniques)	24033 (86 uniques)	24033 (86 uniques)	24033 (86 uniques)	23938 (84 uniques)	23938 (84 uniques)	5000 (80 uniques)	5000 (77 uniques)
16S_53	98868	87574	87574	87574 (29560 uniques)	86882 (493 uniques)	85519 (433 uniques)	85412 (421 uniques)	85361 (418 uniques)	85361 (418 uniques)	85361 (418 uniques)	61990 (403 uniques)	61986 (401 uniques)	5000 (326 uniques)	5000 (313 uniques)
16S_53_r	57158	49395	49395	49395 (15559 uniques)	48930 (294 uniques)	48106 (264 uniques)	48084 (257 uniques)	48049 (255 uniques)	48049 (255 uniques)	48049 (255 uniques)	33443 (244 uniques)	33441 (243 uniques)	5000 (226 uniques)	5000 (217 uniques)
16S_54	47287	38613	38613	38613 (7495 uniques)	38253 (148 uniques)	37424 (117 uniques)	18298 (111 uniques)	18276 (110 uniques)	18276 (110 uniques)	18276 (110 uniques)	17573 (93 uniques)	17571 (92 uniques)	5000 (84 uniques)	5000 (84 uniques)
16S_54_r	39609	32298	32298	32298 (8506 uniques)	31890 (80 uniques)	30058 (66 uniques)	23822 (64 uniques)	23602 (58 uniques)	23602 (58 uniques)	23602 (58 uniques)	23203 (49 uniques)	23203 (49 uniques)	5000 (40 uniques)	5000 (40 uniques)
16S_55	156461	134427	134427	134427 (59656 uniques)	131884 (1097 uniques)	124841 (949 uniques)	124776 (912 uniques)	123177 (875 uniques)	123177 (875 uniques)	123177 (875 uniques)	113944 (855 uniques)	113938 (852 uniques)	5000 (592 uniques)	5000 (567 uniques)
16S_56	182384	162086	162086	162086 (34406 uniques)	161563 (132 uniques)	160767 (122 uniques)	160736 (112 uniques)	158245 (79 uniques)	158245 (79 uniques)	158245 (79 uniques)	19044 (70 uniques)	19044 (70 uniques)	5000 (65 uniques)	5000 (59 uniques)
16S_57	46774	40787	40787	40787 (14877 uniques)	40490 (161 uniques)	39998 (146 uniques)	39944 (142 uniques)	39857 (137 uniques)	39857 (137 uniques)	39857 (137 uniques)	31148 (124 uniques)	31148 (124 uniques)	5000 (119 uniques)	5000 (116 uniques)
16S_58	78971	66840	66840	66840 (20560 uniques)	66071 (291 uniques)	64799 (258 uniques)	56157 (250 uniques)	55179 (209 uniques)	55179 (209 uniques)	55179 (209 uniques)	55100 (205 uniques)	55096 (203 uniques)	5000 (155 uniques)	5000 (146 uniques)
16S_59	129368	108961	108961	108961 (25828 uniques)	108098 (518 uniques)	106022 (454 uniques)	71954 (433 uniques)	70240 (408 uniques)	70240 (408 uniques)	70240 (408 uniques)	69272 (378 uniques)	69269 (376 uniques)	5000 (262 uniques)	5000 (253 uniques)
16S_6	116020	98193	98193	98193 (31539 uniques)	96497 (759 uniques)	92901 (669 uniques)	74564 (644 uniques)	71757 (578 uniques)	71757 (578 uniques)	71757 (578 uniques)	67017 (565 uniques)	67013 (563 uniques)	5000 (424 uniques)	5000 (403 uniques)
16S_60	164466	140175	140175	140175 (52232 uniques)	138552 (664 uniques)	134298 (564 uniques)	133612 (548 uniques)	131666 (490 uniques)	131666 (490 uniques)	131666 (490 uniques)	122411 (471 uniques)	122410 (470 uniques)	5000 (327 uniques)	5000 (303 uniques)
16S_61	50605	42677	42677	42677 (11357 uniques)	42152 (240 uniques)	41265 (201 uniques)	23762 (184 uniques)	23617 (178 uniques)	23617 (178 uniques)	23617 (178 uniques)	15741 (146 uniques)	15741 (146 uniques)	5000 (134 uniques)	5000 (132 uniques)
16S_62	122787	106256	106256	106256 (49256 uniques)	104036 (1146 uniques)	98893 (991 uniques)	98835 (955 uniques)	98507 (945 uniques)	98507 (945 uniques)	98507 (945 uniques)	86065 (931 uniques)	86049 (922 uniques)	5000 (665 uniques)	5000 (639 uniques)
16S_63	127316	107545	107545	107545 (22173 uniques)	106869 (332 uniques)	104805 (293 uniques)	72042 (276 uniques)	69385 (240 uniques)	69385 (240 uniques)	69385 (240 uniques)	69263 (232 uniques)	69261 (231 uniques)	5000 (170 uniques)	5000 (161 uniques)
16S_64	167645	146913	146913	146913 (29408 uniques)	146131 (96 uniques)	145053 (81 uniques)	144907 (70 uniques)	143817 (49 uniques)	143817 (49 uniques)	143817 (49 uniques)	99604 (40 uniques)	99604 (40 uniques)	5000 (26 uniques)	5000 (26 uniques)
16S_65	102576	87253	87253	87253 (22607 uniques)	86560 (207 uniques)	84399 (201 uniques)	68119 (185 uniques)	64725 (119 uniques)	64725 (119 uniques)	64725 (119 uniques)	64613 (115 uniques)	64613 (115 uniques)	5000 (91 uniques)	5000 (83 uniques)
16S_66	74385	62869	62869	62869 (18585 uniques)	62119 (279 uniques)	60760 (246 uniques)	52773 (240 uniques)	51371 (201 uniques)	51371 (201 uniques)	51371 (201 uniques)	51282 (197 uniques)	51276 (194 uniques)	5000 (158 uniques)	5000 (147 uniques)
16S_67	150238	133454	133454	133454 (22986 uniques)	132991 (69 uniques)	132601 (61 uniques)	132569 (56 uniques)	132059 (39 uniques)	132059 (39 uniques)	132059 (39 uniques)	76742 (29 uniques)	76742 (29 uniques)	5000 (16 uniques)	5000 (16 uniques)
16S_68	113617	99665	99665	99665 (21615 uniques)	99059 (78 uniques)	98643 (72 uniques)	98606 (65 uniques)	98060 (40 uniques)	98060 (40 uniques)	98060 (40 uniques)	64357 (35 uniques)	64357 (35 uniques)	5000 (25 uniques)	5000 (24 uniques)
16S_69	128184	108870	108870	108870 (35494 uniques)	107349 (678 uniques)	103856 (596 uniques)	87586 (571 uniques)	84645 (516 uniques)	84645 (516 uniques)	84645 (516 uniques)	81455 (497 uniques)	81447 (492 uniques)	5000 (345 uniques)	5000 (327 uniques)
16S_7	101626	91110	91110	91110 (17668 uniques)	90770 (53 uniques)	90010 (46 uniques)	89996 (42 uniques)	89581 (21 uniques)	89581 (21 uniques)	89581 (21 uniques)	54209 (19 uniques)	54209 (19 uniques)	5000 (16 uniques)	5000 (15 uniques)
16S_70	111910	97371	97371	97371 (45289 uniques)	95316 (1020 uniques)	90283 (873 uniques)	90229 (848 uniques)	89724 (836 uniques)	89724 (836 uniques)	89724 (836 uniques)	81195 (820 uniques)	81189 (816 uniques)	5000 (587 uniques)	5000 (573 uniques)
16S_71	105796	98175	98175	98175 (31333 uniques)	97132 (500 uniques)	94537 (463 uniques)	94525 (456 uniques)	91514 (370 uniques)	91514 (370 uniques)	91514 (370 uniques)	90152 (362 uniques)	90148 (359 uniques)	5000 (236 uniques)	5000 (221 uniques)
16S_72	136547	117171	117171	117171 (51910 uniques)	115333 (716 uniques)	111252 (674 uniques)	111032 (647 uniques)	109903 (609 uniques)	109903 (609 uniques)	109903 (609 uniques)	104172 (602 uniques)	104162 (596 uniques)	5000 (461 uniques)	5000 (422 uniques)
16S_73	83809	66769	66769	66769 (12331 uniques)	66179 (130 uniques)	65141 (113 uniques)	22625 (106 uniques)	22375 (100 uniques)	22375 (100 uniques)	22375 (100 uniques)	20824 (78 uniques)	20824 (78 uniques)	5000 (63 uniques)	5000 (60 uniques)
16S_74	53191	46165	46165	46165 (11846 uniques)	45784 (199 uniques)	45409 (189 uniques)	35802 (181 uniques)	35328 (158 uniques)	35328 (158 uniques)	35328 (158 uniques)	35314 (156 uniques)	35311 (154 uniques)	5000 (133 uniques)	5000 (123 uniques)
16S_75	88862	73838	73838	73838 (14607 uniques)	73246 (238 uniques)	72200 (202 uniques)	38806 (192 uniques)	37666 (167 uniques)	37666 (167 uniques)	37666 (167 uniques)	37547 (161 uniques)	37547 (161 uniques)	5000 (133 uniques)	5000 (124 uniques)
16S_76	130013	115843	115843	115843 (22338 uniques)	115373 (70 uniques)	115055 (51 uniques)	115019 (46 uniques)	114776 (37 uniques)	114776 (37 uniques)	114776 (37 uniques)	86377 (33 uniques)	86377 (33 uniques)	5000 (19 uniques)	5000 (18 uniques)
16S_77	713	113	113	113 (101 uniques)	25 (4 uniques)	19 (3 uniques)	19 (3 uniques)	19 (3 uniques)	19 (3 uniques)	19 (3 uniques)	14 (2 uniques)	14 (2 uniques)	/	/
16S_77_r	33573	28586	28586	28586 (4240 uniques)	28431 (100 uniques)	28195 (80 uniques)	1005 (75 uniques)	1005 (75 uniques)	1005 (75 uniques)	1005 (75 uniques)	874 (70 uniques)	870 (68 uniques)	/	/
16S_78	189	107	107	107 (105 uniques)	4 (1 uniques)	4 (1 uniques)	/	/	/	/	/	/	/	/
16S_78_r	45032	34599	34599	34599 (8871 uniques)	34168 (376 uniques)	33209 (314 uniques)	7079 (304 uniques)	7079 (304 uniques)	7079 (304 uniques)	7079 (304 uniques)	6828 (293 uniques)	6820 (289 uniques)	5000 (289 uniques)	5000 (277 uniques)
16S_79	99505	85660	85660	85660 (36414 uniques)	84898 (706 uniques)	82915 (669 uniques)	82114 (634 uniques)	82040 (629 uniques)	82040 (629 uniques)	82040 (629 uniques)	77754 (605 uniques)	77749 (602 uniques)	5000 (486 uniques)	5000 (431 uniques)
16S_8	72105	61828	61828	61828 (8850 uniques)	61554 (179 uniques)	61235 (149 uniques)	15234 (145 uniques)	15077 (140 uniques)	15077 (140 uniques)	15077 (140 uniques)	12836 (116 uniques)	12836 (116 uniques)	5000 (101 uniques)	5000 (98 uniques)
16S_80	498	129	129	129 (127 uniques)	4 (2 uniques)	4 (2 uniques)	4 (2 uniques)	4 (2 uniques)	4 (2 uniques)	4 (2 uniques)	4 (2 uniques)	2 (1 uniques)	/	/
16S_80_r	38974	30643	30643	30643 (7439 uniques)	30314 (206 uniques)	29346 (183 uniques)	10132 (175 uniques)	10132 (175 uniques)	10132 (175 uniques)	10132 (175 uniques)	10037 (168 uniques)	10033 (166 uniques)	5000 (164 uniques)	5000 (153 uniques)
16S_81	33984	28417	28417	28417 (11552 uniques)	27488 (687 uniques)	25729 (559 uniques)	21469 (545 uniques)	21431 (544 uniques)	21431 (544 uniques)	21431 (544 uniques)	19153 (526 uniques)	19143 (520 uniques)	5000 (500 uniques)	5000 (472 uniques)
16S_82	71952	62170	62170	62170 (15580 uniques)	61825 (174 uniques)	61387 (148 uniques)	25511 (137 uniques)	25511 (137 uniques)	25511 (137 uniques)	25511 (137 uniques)	20927 (128 uniques)	20923 (126 uniques)	5000 (118 uniques)	5000 (114 uniques)
16S_83	114938	99258	99258	99258 (44330 uniques)	97330 (684 uniques)	92374 (613 uniques)	92351 (599 uniques)	90622 (556 uniques)	90622 (556 uniques)	90622 (556 uniques)	81344 (550 uniques)	81333 (543 uniques)	5000 (407 uniques)	5000 (380 uniques)
16S_84	39467	35598	35598	35598 (10120 uniques)	35464 (67 uniques)	34921 (62 uniques)	34685 (58 uniques)	34685 (58 uniques)	34685 (58 uniques)	34685 (58 uniques)	8352 (54 uniques)	8352 (54 uniques)	5000 (54 uniques)	5000 (49 uniques)
16S_84_manual	220593	196227	196227	196227 (45082 uniques)	195546 (243 uniques)	192149 (235 uniques)	190559 (223 uniques)	190354 (213 uniques)	190354 (213 uniques)	190354 (213 uniques)	53050 (191 uniques)	53044 (188 uniques)	5000 (155 uniques)	5000 (137 uniques)
16S_84_r	16899	14804	14804	14804 (4012 uniques)	14630 (35 uniques)	14124 (38 uniques)	13910 (31 uniques)	13910 (31 uniques)	13910 (31 uniques)	13910 (31 uniques)	3728 (26 uniques)	3728 (26 uniques)	/	/
16S_85	14059	12906	12906	12906 (1868 uniques)	12836 (15 uniques)	12818 (11 uniques)	12818 (9 uniques)	12818 (9 uniques)	12818 (9 uniques)	12818 (9 uniques)	2297 (8 uniques)	2297 (8 uniques)	/	/
16S_85_r	52415	46123	46123	46123 (9160 uniques)	45614 (75 uniques)	45385 (63 uniques)	45343 (57 uniques)	45340 (56 uniques)	45340 (56 uniques)	45340 (56 uniques)	25098 (52 uniques)	25098 (52 uniques)	5000 (43 uniques)	5000 (43 uniques)
16S_86	133217	114183	114183	114183 (40140 uniques)	112428 (722 uniques)	108630 (616 uniques)	108446 (601 uniques)	106491 (562 uniques)	106491 (562 uniques)	106491 (562 uniques)	77691 (553 uniques)	77671 (540 uniques)	5000 (396 uniques)	5000 (366 uniques)
16S_87	78734	71087	71087	71087 (9551 uniques)	70844 (50 uniques)	70731 (48 uniques)	70708 (41 uniques)	70646 (37 uniques)	70646 (37 uniques)	70646 (37 uniques)	25432 (32 uniques)	25432 (32 uniques)	5000 (27 uniques)	5000 (27 uniques)
16S_88	1094	353	353	353 (230 uniques)	229 (16 uniques)	188 (11 uniques)	84 (10 uniques)	84 (10 uniques)	84 (10 uniques)	84 (10 uniques)	70 (8 uniques)	70 (8 uniques)	/	/
16S_88_r	35546	29382	29382	29382 (9469 uniques)	28887 (350 uniques)	28220 (304 uniques)	22616 (296 uniques)	22537 (292 uniques)	22537 (292 uniques)	22537 (292 uniques)	22199 (280 uniques)	22195 (278 uniques)	5000 (267 uniques)	5000 (255 uniques)
16S_89	3098	286	286	286 (249 uniques)	125 (11 uniques)	109 (11 uniques)	102 (10 uniques)	102 (10 uniques)	102 (10 uniques)	102 (10 uniques)	81 (8 uniques)	81 (8 uniques)	/	/
16S_89_r	30207	27678	27678	27678 (3324 uniques)	27560 (15 uniques)	27551 (16 uniques)	27545 (11 uniques)	27545 (11 uniques)	27545 (11 uniques)	27545 (11 uniques)	2117 (9 uniques)	2117 (9 uniques)	/	/
16S_9	85509	74934	74934	74934 (28430 uniques)	73713 (573 uniques)	71212 (462 uniques)	71180 (453 uniques)	70702 (441 uniques)	70702 (441 uniques)	70702 (441 uniques)	39396 (427 uniques)	39390 (424 uniques)	5000 (361 uniques)	5000 (353 uniques)
16S_90	205	84	84	84 (81 uniques)	16 (3 uniques)	3 (1 uniques)	3 (1 uniques)	3 (1 uniques)	3 (1 uniques)	3 (1 uniques)	/	/	/	/
16S_90_r	53590	47598	47598	47598 (7583 uniques)	47447 (16 uniques)	47401 (15 uniques)	47394 (10 uniques)	47394 (10 uniques)	47394 (10 uniques)	47394 (10 uniques)	23524 (8 uniques)	23524 (8 uniques)	5000 (7 uniques)	5000 (7 uniques)
16S_91	368	138	138	138 (133 uniques)	14 (3 uniques)	6 (1 uniques)	/	/	/	/	/	/	/	/
16S_91_r	23769	21763	21763	21763 (2532 uniques)	21698 (5 uniques)	21692 (6 uniques)	21692 (4 uniques)	21692 (4 uniques)	21692 (4 uniques)	21692 (4 uniques)	1047 (3 uniques)	1047 (3 uniques)	/	/
16S_92	339	136	136	136 (122 uniques)	30 (5 uniques)	24 (4 uniques)	17 (3 uniques)	17 (3 uniques)	17 (3 uniques)	17 (3 uniques)	4 (1 uniques)	4 (1 uniques)	/	/
16S_92_r	39941	30854	30854	30854 (7154 uniques)	30476 (108 uniques)	30053 (98 uniques)	16938 (90 uniques)	16801 (84 uniques)	16801 (84 uniques)	16801 (84 uniques)	16746 (80 uniques)	16746 (80 uniques)	5000 (75 uniques)	5000 (73 uniques)
16S_93	112510	98861	98861	98861 (33548 uniques)	97800 (445 uniques)	95030 (366 uniques)	93355 (352 uniques)	92837 (335 uniques)	92837 (335 uniques)	92837 (335 uniques)	46847 (292 uniques)	46837 (286 uniques)	5000 (237 uniques)	5000 (229 uniques)
16S_94	154843	136851	136851	136851 (46667 uniques)	135492 (467 uniques)	132542 (408 uniques)	132527 (394 uniques)	129879 (321 uniques)	129879 (321 uniques)	129879 (321 uniques)	93177 (313 uniques)	93170 (309 uniques)	5000 (228 uniques)	5000 (196 uniques)
16S_95	164236	149763	149763	149763 (22298 uniques)	149392 (79 uniques)	149136 (74 uniques)	149125 (68 uniques)	148714 (51 uniques)	148714 (51 uniques)	148714 (51 uniques)	74697 (46 uniques)	74697 (46 uniques)	5000 (31 uniques)	5000 (30 uniques)
16S_96	6675	5634	5634	5634 (2472 uniques)	5262 (271 uniques)	4642 (193 uniques)	4354 (192 uniques)	4354 (192 uniques)	4354 (192 uniques)	4354 (192 uniques)	4169 (183 uniques)	4165 (181 uniques)	/	/
16S_96_r	17543	14607	14607	14607 (5830 uniques)	14219 (338 uniques)	13796 (306 uniques)	13301 (304 uniques)	13301 (304 uniques)	13301 (304 uniques)	13301 (304 uniques)	12984 (294 uniques)	12982 (293 uniques)	5000 (287 uniques)	5000 (279 uniques)
16S_97	23774	20336	20336	20336 (4880 uniques)	20032 (151 uniques)	19865 (136 uniques)	10313 (132 uniques)	10303 (131 uniques)	10303 (131 uniques)	10303 (131 uniques)	10226 (127 uniques)	10224 (126 uniques)	5000 (126 uniques)	5000 (124 uniques)
16S_97_r	23084	19225	19225	19225 (5441 uniques)	19044 (102 uniques)	18867 (85 uniques)	13668 (81 uniques)	13668 (81 uniques)	13668 (81 uniques)	13668 (81 uniques)	13614 (78 uniques)	13614 (78 uniques)	5000 (77 uniques)	5000 (77 uniques)
16S_98	160	81	81	81 (73 uniques)	31 (6 uniques)	15 (4 uniques)	12 (3 uniques)	12 (3 uniques)	12 (3 uniques)	12 (3 uniques)	6 (2 uniques)	6 (2 uniques)	/	/
16S_98_r	39256	32768	32768	32768 (6929 uniques)	32410 (280 uniques)	31938 (230 uniques)	13246 (223 uniques)	13206 (220 uniques)	13206 (220 uniques)	13206 (220 uniques)	13105 (214 uniques)	13103 (213 uniques)	5000 (205 uniques)	5000 (204 uniques)
16S_99	142153	130097	130097	130097 (30685 uniques)	129118 (356 uniques)	127208 (311 uniques)	127208 (302 uniques)	125805 (262 uniques)	125805 (262 uniques)	125805 (262 uniques)	46315 (253 uniques)	46308 (249 uniques)	5000 (215 uniques)	5000 (197 uniques)
16S_P1_NTC	1034	733	733	733 (394 uniques)	657 (14 uniques)	646 (12 uniques)	646 (12 uniques)	646 (12 uniques)	646 (12 uniques)	646 (12 uniques)	603 (10 uniques)	603 (10 uniques)	/	/
16S_P1_NTC2	1325	1027	1027	1027 (474 uniques)	942 (12 uniques)	900 (8 uniques)	900 (6 uniques)	900 (6 uniques)	900 (6 uniques)	900 (6 uniques)	895 (5 uniques)	895 (5 uniques)	/	/
16S_P1_ext_neg	20485	15779	15779	15779 (5175 uniques)	15630 (33 uniques)	15570 (30 uniques)	15564 (26 uniques)	15562 (25 uniques)	15562 (25 uniques)	15562 (25 uniques)	14939 (23 uniques)	14938 (22 uniques)	5000 (22 uniques)	5000 (20 uniques)
16S_P1_mPNA_NTC	7543	6367	6367	6367 (2288 uniques)	6257 (16 uniques)	5973 (14 uniques)	5973 (12 uniques)	5973 (12 uniques)	5973 (12 uniques)	5973 (12 uniques)	5953 (11 uniques)	5953 (11 uniques)	5000 (11 uniques)	5000 (9 uniques)
16S_P1_mock	86706	74103	74103	74103 (20006 uniques)	73547 (203 uniques)	71687 (462 uniques)	71576 (392 uniques)	61859 (183 uniques)	61859 (183 uniques)	61859 (183 uniques)	61828 (181 uniques)	61796 (155 uniques)	5000 (85 uniques)	5000 (16 uniques)
16S_P237_NOV_2020	25951	21721	21721	21721 (4720 uniques)	21495 (32 uniques)	21400 (27 uniques)	21305 (23 uniques)	21305 (23 uniques)	21305 (23 uniques)	21305 (23 uniques)	19798 (18 uniques)	19798 (18 uniques)	5000 (16 uniques)	5000 (15 uniques)
16S_P26_NOV_2020	93770	79136	79136	79136 (15997 uniques)	78520 (69 uniques)	78025 (58 uniques)	76930 (35 uniques)	76922 (34 uniques)	76922 (34 uniques)	76922 (34 uniques)	75392 (30 uniques)	75392 (30 uniques)	5000 (20 uniques)	5000 (17 uniques)
16S_P2_NTC1	196	73	73	73 (72 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	2 (1 uniques)	/	/	/	/
16S_P2_NTC1_pPNA	6161	5183	5183	5183 (1988 uniques)	5081 (22 uniques)	5055 (23 uniques)	5050 (21 uniques)	5050 (21 uniques)	5050 (21 uniques)	5050 (21 uniques)	5033 (18 uniques)	5032 (17 uniques)	5000 (17 uniques)	5000 (14 uniques)
16S_P2_NTC2	426	160	160	160 (123 uniques)	77 (8 uniques)	69 (7 uniques)	69 (7 uniques)	69 (7 uniques)	69 (7 uniques)	69 (7 uniques)	46 (5 uniques)	46 (5 uniques)	/	/
16S_P2_NTC2_pPNA	2577	832	832	832 (442 uniques)	737 (8 uniques)	736 (8 uniques)	725 (6 uniques)	725 (6 uniques)	725 (6 uniques)	725 (6 uniques)	704 (4 uniques)	704 (4 uniques)	/	/
16S_P2_ext_neg_1	15473	13093	13093	13093 (4508 uniques)	12885 (21 uniques)	12811 (24 uniques)	12801 (20 uniques)	12801 (20 uniques)	12801 (20 uniques)	12801 (20 uniques)	12794 (19 uniques)	12794 (19 uniques)	5000 (19 uniques)	5000 (15 uniques)
16S_P2_ext_neg_2	17108	14428	14428	14428 (4337 uniques)	14260 (34 uniques)	14147 (37 uniques)	14147 (30 uniques)	14147 (30 uniques)	14147 (30 uniques)	14147 (30 uniques)	14135 (29 uniques)	14132 (27 uniques)	5000 (27 uniques)	5000 (21 uniques)
16S_P2_mock	68310	58179	58179	58179 (18584 uniques)	57336 (174 uniques)	54638 (395 uniques)	54622 (332 uniques)	45696 (150 uniques)	45696 (150 uniques)	45696 (150 uniques)	45627 (148 uniques)	45615 (138 uniques)	5000 (89 uniques)	5000 (18 uniques)
16S_P2_mock_pPNA	251444	214740	214740	214740 (56841 uniques)	213727 (287 uniques)	208564 (665 uniques)	208500 (542 uniques)	187864 (250 uniques)	187864 (250 uniques)	187864 (250 uniques)	187648 (248 uniques)	187584 (199 uniques)	5000 (76 uniques)	5000 (26 uniques)
16S_P41_NOV_2020	38950	32440	32440	32440 (9211 uniques)	32179 (93 uniques)	31903 (83 uniques)	27418 (55 uniques)	27418 (55 uniques)	27418 (55 uniques)	27418 (55 uniques)	24763 (48 uniques)	24761 (47 uniques)	5000 (42 uniques)	5000 (41 uniques)
16S_P42_NOV_2020	86274	74435	74435	74435 (16233 uniques)	73897 (304 uniques)	73181 (272 uniques)	72751 (258 uniques)	72276 (249 uniques)	72276 (249 uniques)	72276 (249 uniques)	67952 (227 uniques)	67948 (225 uniques)	5000 (161 uniques)	5000 (158 uniques)
16S_P43_NOV_2020	141262	119962	119962	119962 (34911 uniques)	119320 (110 uniques)	118275 (101 uniques)	72898 (70 uniques)	72898 (70 uniques)	72898 (70 uniques)	72898 (70 uniques)	72186 (63 uniques)	72185 (62 uniques)	5000 (47 uniques)	5000 (46 uniques)
16S_P44_NOV_2020	79227	67920	67920	67920 (21585 uniques)	67530 (57 uniques)	67363 (80 uniques)	17574 (28 uniques)	17574 (28 uniques)	17574 (28 uniques)	17574 (28 uniques)	15889 (20 uniques)	15889 (20 uniques)	5000 (20 uniques)	5000 (18 uniques)
