	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_100	9-TaxaFilter_100	10-MultipletonsFilter_100	11-Subsampling_100	12-Lulu_100
16S_133	130861	113502	113502	113502 (45022 uniques)	111523 (1174 uniques)	105913 (1244 uniques)	105688 (1068 uniques)	105550 (1057 uniques)	105550 (1057 uniques)	105550 (1057 uniques)	104931 (1038 uniques)	104890 (1007 uniques)	5000 (704 uniques)	5000 (442 uniques)
16S_134	150286	125052	125052	125052 (51651 uniques)	122102 (1617 uniques)	114850 (1484 uniques)	114739 (1371 uniques)	112252 (1293 uniques)	112252 (1293 uniques)	112252 (1293 uniques)	111920 (1269 uniques)	111904 (1260 uniques)	5000 (724 uniques)	5000 (644 uniques)
16S_135	205316	176167	176167	176167 (71475 uniques)	172683 (2203 uniques)	162997 (2026 uniques)	162764 (1887 uniques)	160168 (1815 uniques)	160168 (1815 uniques)	160168 (1815 uniques)	159480 (1780 uniques)	159466 (1773 uniques)	5000 (910 uniques)	5000 (802 uniques)
16S_136	206724	187029	187029	187029 (65026 uniques)	183251 (1786 uniques)	174201 (1834 uniques)	174109 (1551 uniques)	169141 (1440 uniques)	169141 (1440 uniques)	169141 (1440 uniques)	167091 (1365 uniques)	167053 (1343 uniques)	5000 (667 uniques)	5000 (510 uniques)
16S_137	167572	147818	147818	147818 (48331 uniques)	145350 (933 uniques)	139289 (933 uniques)	139243 (836 uniques)	129758 (644 uniques)	129758 (644 uniques)	129758 (644 uniques)	129013 (629 uniques)	128975 (604 uniques)	5000 (343 uniques)	5000 (274 uniques)
16S_138	175974	153705	153705	153705 (59432 uniques)	149975 (1834 uniques)	141316 (1779 uniques)	141233 (1564 uniques)	138171 (1497 uniques)	138171 (1497 uniques)	138171 (1497 uniques)	137674 (1460 uniques)	137653 (1448 uniques)	5000 (735 uniques)	5000 (612 uniques)
16S_139	102409	89909	89909	89909 (40069 uniques)	86562 (1375 uniques)	80191 (1181 uniques)	80102 (1093 uniques)	78261 (1041 uniques)	78261 (1041 uniques)	78261 (1041 uniques)	78031 (1018 uniques)	78011 (1007 uniques)	5000 (655 uniques)	5000 (589 uniques)
16S_14	132444	118382	118382	118382 (27417 uniques)	117907 (176 uniques)	117149 (170 uniques)	116312 (158 uniques)	112950 (118 uniques)	112950 (118 uniques)	112950 (118 uniques)	86144 (111 uniques)	86143 (110 uniques)	5000 (82 uniques)	5000 (76 uniques)
16S_140	174549	149012	149012	149012 (41225 uniques)	147172 (492 uniques)	142619 (544 uniques)	142591 (494 uniques)	131501 (290 uniques)	131501 (290 uniques)	131501 (290 uniques)	131316 (281 uniques)	131305 (274 uniques)	5000 (169 uniques)	5000 (100 uniques)
16S_141	197107	169853	169853	169853 (45801 uniques)	168160 (510 uniques)	163537 (568 uniques)	163520 (520 uniques)	152239 (315 uniques)	152239 (315 uniques)	152239 (315 uniques)	152083 (307 uniques)	152072 (300 uniques)	5000 (179 uniques)	5000 (106 uniques)
16S_142	226681	196509	196509	196509 (40877 uniques)	194883 (371 uniques)	191031 (430 uniques)	190990 (373 uniques)	180366 (215 uniques)	180366 (215 uniques)	180366 (215 uniques)	180139 (212 uniques)	180126 (202 uniques)	5000 (116 uniques)	5000 (66 uniques)
16S_143	277854	239821	239821	239821 (62686 uniques)	237457 (660 uniques)	230629 (797 uniques)	230594 (713 uniques)	211700 (402 uniques)	211700 (402 uniques)	211700 (402 uniques)	211310 (391 uniques)	211276 (365 uniques)	5000 (201 uniques)	5000 (112 uniques)
16S_144	313307	266470	266470	266470 (70550 uniques)	264151 (713 uniques)	252798 (1090 uniques)	252719 (841 uniques)	226771 (470 uniques)	226771 (470 uniques)	226771 (470 uniques)	224992 (464 uniques)	224939 (422 uniques)	5000 (225 uniques)	5000 (89 uniques)
16S_145	224566	194008	194008	194008 (60364 uniques)	191667 (815 uniques)	184395 (798 uniques)	184348 (742 uniques)	172662 (489 uniques)	172662 (489 uniques)	172662 (489 uniques)	165226 (468 uniques)	165209 (458 uniques)	5000 (284 uniques)	5000 (193 uniques)
16S_146	223417	194330	194330	194330 (61180 uniques)	191446 (793 uniques)	182923 (831 uniques)	182855 (771 uniques)	167415 (397 uniques)	167415 (397 uniques)	167415 (397 uniques)	165657 (386 uniques)	165620 (363 uniques)	5000 (263 uniques)	5000 (178 uniques)
16S_147	121094	103947	103947	103947 (40512 uniques)	101953 (772 uniques)	97194 (665 uniques)	97132 (637 uniques)	91501 (493 uniques)	91501 (493 uniques)	91501 (493 uniques)	90794 (477 uniques)	90783 (471 uniques)	5000 (337 uniques)	5000 (280 uniques)
16S_148	173879	146156	146156	146156 (66350 uniques)	141302 (1190 uniques)	125868 (1122 uniques)	125805 (1015 uniques)	117855 (837 uniques)	117855 (837 uniques)	117855 (837 uniques)	117606 (831 uniques)	117567 (806 uniques)	5000 (581 uniques)	5000 (410 uniques)
16S_149	189854	165188	165188	165188 (68714 uniques)	160980 (1235 uniques)	148204 (1193 uniques)	148189 (1074 uniques)	136669 (849 uniques)	136669 (849 uniques)	136669 (849 uniques)	136608 (845 uniques)	136574 (825 uniques)	5000 (572 uniques)	5000 (476 uniques)
16S_15	114709	100347	100347	100347 (22304 uniques)	99823 (84 uniques)	99150 (68 uniques)	99120 (61 uniques)	98340 (36 uniques)	98340 (36 uniques)	98340 (36 uniques)	75148 (33 uniques)	75148 (33 uniques)	5000 (22 uniques)	5000 (20 uniques)
16S_150	272974	228349	228349	228349 (99120 uniques)	219830 (2418 uniques)	197521 (2147 uniques)	197407 (2012 uniques)	179542 (1741 uniques)	179542 (1741 uniques)	179542 (1741 uniques)	175002 (1684 uniques)	174950 (1657 uniques)	5000 (893 uniques)	5000 (720 uniques)
16S_151	234167	197732	197732	197732 (71482 uniques)	191969 (1667 uniques)	179325 (1434 uniques)	179265 (1364 uniques)	165242 (1135 uniques)	165242 (1135 uniques)	165242 (1135 uniques)	163416 (1099 uniques)	163356 (1066 uniques)	5000 (564 uniques)	5000 (460 uniques)
16S_152	291660	248561	248561	248561 (102448 uniques)	239998 (2329 uniques)	218479 (2065 uniques)	218443 (1936 uniques)	194351 (1540 uniques)	194351 (1540 uniques)	194351 (1540 uniques)	192983 (1500 uniques)	192925 (1468 uniques)	5000 (728 uniques)	5000 (589 uniques)
