	0-RawData	1-FilterAndTrim	2-ErrorModel	3.1-Dereplication	3.2-Denoising	4-ESV	5-MultipleSequenceAlignment	6-ChimeraRemoval	7-PreClassification	8-Clustering_97	9-TaxaFilter_97	10-MultipletonsFilter_97	11-Subsampling_97	12-Lulu_97
16S_1	56685	46807	46807	46807 (13243 uniques)	45735 (338 uniques)	43854 (252 uniques)	25699 (242 uniques)	25507 (236 uniques)	25507 (236 uniques)	25507 (211 uniques)	20872 (190 uniques)	20862 (185 uniques)	5000 (154 uniques)	5000 (154 uniques)
16S_10	97975	86411	86411	86411 (32892 uniques)	85291 (450 uniques)	82543 (390 uniques)	82532 (387 uniques)	80601 (334 uniques)	80601 (334 uniques)	80601 (286 uniques)	69940 (283 uniques)	69940 (283 uniques)	5000 (210 uniques)	5000 (210 uniques)
16S_100	114779	99619	99619	99619 (44301 uniques)	96131 (1468 uniques)	89140 (1310 uniques)	89026 (1172 uniques)	87119 (1130 uniques)	87119 (1130 uniques)	87119 (906 uniques)	86742 (874 uniques)	86732 (869 uniques)	5000 (508 uniques)	5000 (508 uniques)
16S_101	126440	110493	110493	110493 (44373 uniques)	107094 (1071 uniques)	100294 (1040 uniques)	100101 (861 uniques)	97547 (811 uniques)	97547 (811 uniques)	97547 (564 uniques)	96825 (527 uniques)	96813 (521 uniques)	5000 (292 uniques)	5000 (292 uniques)
16S_102	123415	106310	106310	106310 (39702 uniques)	103988 (798 uniques)	99009 (742 uniques)	98991 (664 uniques)	94604 (560 uniques)	94604 (560 uniques)	94604 (418 uniques)	93151 (396 uniques)	93139 (390 uniques)	5000 (244 uniques)	5000 (244 uniques)
16S_103	185548	164739	164739	164739 (61217 uniques)	160861 (1765 uniques)	151508 (1711 uniques)	151365 (1456 uniques)	147780 (1382 uniques)	147780 (1382 uniques)	147780 (1021 uniques)	145463 (954 uniques)	145443 (944 uniques)	5000 (411 uniques)	5000 (410 uniques)
16S_104	132363	114901	114901	114901 (46870 uniques)	111680 (1268 uniques)	104340 (1031 uniques)	103731 (990 uniques)	99865 (892 uniques)	99865 (892 uniques)	99865 (740 uniques)	99609 (727 uniques)	99583 (714 uniques)	5000 (397 uniques)	5000 (397 uniques)
16S_105	165796	145061	145061	145061 (56667 uniques)	141924 (1518 uniques)	133256 (1471 uniques)	133149 (1246 uniques)	130225 (1191 uniques)	130225 (1191 uniques)	130225 (887 uniques)	128604 (831 uniques)	128592 (825 uniques)	5000 (413 uniques)	5000 (413 uniques)
16S_106	103134	89946	89946	89946 (40482 uniques)	86937 (1437 uniques)	80438 (1219 uniques)	80412 (1136 uniques)	79307 (1104 uniques)	79307 (1104 uniques)	79307 (884 uniques)	79107 (862 uniques)	79095 (856 uniques)	5000 (538 uniques)	5000 (536 uniques)
16S_107	165219	145137	145137	145137 (56261 uniques)	141078 (1473 uniques)	131831 (1459 uniques)	131772 (1200 uniques)	127216 (1092 uniques)	127216 (1092 uniques)	127216 (782 uniques)	125761 (723 uniques)	125739 (712 uniques)	5000 (351 uniques)	5000 (350 uniques)
16S_108	120073	103463	103463	103463 (46280 uniques)	100057 (1645 uniques)	92054 (1391 uniques)	91945 (1292 uniques)	90415 (1257 uniques)	90415 (1257 uniques)	90415 (1028 uniques)	90009 (993 uniques)	89999 (988 uniques)	5000 (588 uniques)	5000 (587 uniques)
16S_109	166893	147588	147588	147588 (60356 uniques)	143816 (1425 uniques)	134743 (1380 uniques)	134704 (1207 uniques)	131176 (1128 uniques)	131176 (1128 uniques)	131176 (813 uniques)	130495 (779 uniques)	130485 (774 uniques)	5000 (437 uniques)	5000 (436 uniques)
16S_11	136564	121747	121747	121747 (31787 uniques)	120719 (331 uniques)	118567 (272 uniques)	115835 (221 uniques)	115473 (201 uniques)	115473 (201 uniques)	115473 (182 uniques)	26080 (168 uniques)	26080 (168 uniques)	5000 (151 uniques)	5000 (150 uniques)
16S_110	145370	128287	128287	128287 (48140 uniques)	125098 (1453 uniques)	117824 (1411 uniques)	117741 (1201 uniques)	113967 (1136 uniques)	113967 (1136 uniques)	113967 (837 uniques)	113358 (794 uniques)	113346 (788 uniques)	5000 (369 uniques)	5000 (369 uniques)
