"","Genus","Species"
"Otu00145","Photobacterium","damselae"
"Otu00146",NA,NA
"Otu00147",NA,NA
"Otu00148",NA,NA
"Otu00149",NA,NA
"Otu00150",NA,NA
"Otu00151",NA,NA
"Otu00153",NA,NA
"Otu00154",NA,NA
"Otu00155",NA,NA
"Otu00157","Hyunsoonleella","pacifica"
"Otu00158","Thalassotalea","ganghwensis"
"Otu00159",NA,NA
"Otu00161",NA,NA
"Otu00162",NA,NA
"Otu00163",NA,NA
"Otu00164",NA,NA
"Otu00165",NA,NA
"Otu00166",NA,NA
"Otu00168",NA,NA
"Otu00169",NA,NA
"Otu00170",NA,NA
"Otu00171",NA,NA
"Otu00172",NA,NA
"Otu00174","Terasakiella","brassicae"
"Otu00175",NA,NA
"Otu00176",NA,NA
"Otu00177",NA,NA
"Otu00178","Bacteroides","cellulosilyticus/intestinalis/timonensis"
"Otu00181",NA,NA
"Otu00182","Aquabacterium","parvum"
"Otu00183","Tenacibaculum","xiamenense"
"Otu00184",NA,NA
"Otu00186",NA,NA
"Otu00187",NA,NA
"Otu00188",NA,NA
"Otu00189",NA,NA
"Otu00191","Vibrio","aestuarianus/fortis/pelagius"
"Otu00192","Pseudomonas","aeruginosa/denitrificans/fluorescens/mendocina/otitidis/protegens/putida/tropicalis"
"Otu00194",NA,NA
"Otu00195",NA,NA
"Otu00197",NA,NA
"Otu00198",NA,NA
"Otu00199",NA,NA
"Otu00200",NA,NA
"Otu00201",NA,NA
"Otu00203",NA,NA
"Otu00204",NA,NA
"Otu00205","Pelomonas","aquatica/puraquae/saccharophila"
"Otu00206",NA,NA
"Otu00207",NA,NA
"Otu00208",NA,NA
"Otu00209",NA,NA
"Otu00210",NA,NA
"Otu00211",NA,NA
"Otu00212",NA,NA
"Otu00213",NA,NA
"Otu00214",NA,NA
"Otu00215",NA,NA
"Otu00216",NA,NA
"Otu00217",NA,NA
"Otu00218",NA,NA
"Otu00219",NA,NA
"Otu00221",NA,NA
"Otu00222",NA,NA
"Otu00223",NA,NA
"Otu00224",NA,NA
"Otu00225",NA,NA
"Otu00226",NA,NA
"Otu00227",NA,NA
"Otu00228",NA,NA
"Otu00230",NA,NA
"Otu00231",NA,NA
"Otu00232",NA,NA
"Otu00233",NA,NA
"Otu00235",NA,NA
"Otu00236","Pseudoalteromonas","phenolica"
"Otu00237",NA,NA
"Otu00238",NA,"insulare/mobilis/neustonicus"
"Otu00239",NA,NA
"Otu00240",NA,NA
"Otu00241",NA,NA
"Otu00242",NA,NA
"Otu00243",NA,NA
"Otu00244",NA,NA
"Otu00245",NA,NA
"Otu00246",NA,NA
"Otu00247","Methyloversatilis","universalis"
"Otu00248",NA,NA
"Otu00249",NA,NA
"Otu00250",NA,NA
"Otu00251",NA,NA
"Otu00252",NA,NA
"Otu00253","Pseudoalteromonas","ruthenica"
"Otu00254",NA,NA
"Otu00256",NA,NA
"Otu00257","Macellibacteroides","fermentans"
"Otu00258","Ruegeria","conchae"
"Otu00259",NA,NA
"Otu00260",NA,NA
"Otu00261",NA,NA
"Otu00262",NA,NA
"Otu00263",NA,NA
"Otu00264",NA,NA
"Otu00265",NA,NA
"Otu00266",NA,NA
"Otu00267",NA,NA
"Otu00268",NA,NA
"Otu00269",NA,NA
"Otu00270",NA,NA
"Otu00272",NA,NA
"Otu00273",NA,NA
"Otu00274",NA,NA
"Otu00275",NA,NA
"Otu00276",NA,NA
"Otu00277",NA,NA
"Otu00278",NA,NA
"Otu00279",NA,NA
"Otu00280",NA,NA
"Otu00281",NA,NA
"Otu00282",NA,NA
"Otu00283",NA,NA
"Otu00284",NA,NA
"Otu00285",NA,NA
"Otu00286",NA,NA
"Otu00288",NA,NA
"Otu00289",NA,NA
"Otu00290",NA,NA
"Otu00291",NA,NA
"Otu00292",NA,NA
"Otu00293",NA,NA
"Otu00295",NA,NA
"Otu00296","Phenylobacterium","conjunctum"
"Otu00297",NA,NA
"Otu00298","Cloacibacterium","normanense/rupense"
"Otu00300","Thalassotalea","agarivorans/euphylliae/montiporae"
"Otu00301",NA,NA
"Otu00302",NA,NA
"Otu00304",NA,NA
"Otu00305",NA,NA
"Otu00306",NA,NA
"Otu00307",NA,NA
"Otu00308",NA,NA
"Otu00309",NA,NA
"Otu00310",NA,NA
"Otu00312",NA,NA
"Otu00313",NA,NA
"Otu00314",NA,NA
"Otu00316",NA,NA
"Otu00317","Aeromonas","allosaccharophila/aquatica/aquatilis/australiensis/bestiarum/bivalvium/cavernicola/caviae/crassostreae/dhakensis/diversa/encheleia/enterica/enteropelogenes/eucrenophila/finlandiensis/hydrophila/intestinalis/jandaei/lacus/media/molluscorum/piscicola/popoffii/rivipollensis/rivuli/salmonicida/sanarellii/sobria/taiwanensis/tecta/veronii"
"Otu00318",NA,NA
"Otu00319",NA,NA
"Otu00320",NA,NA
"Otu00321","Hydrogenophaga","atypica/caeni/defluvii/intermedia"
"Otu00322",NA,NA
"Otu00323","Nioella","nitratireducens"
"Otu00325",NA,NA
"Otu00327",NA,NA
"Otu00328",NA,NA
"Otu00329","Arcobacter","suis"
"Otu00330",NA,NA
"Otu00332",NA,NA
"Otu00333",NA,NA
"Otu00334",NA,NA
"Otu00335",NA,NA
"Otu00336",NA,NA
"Otu00337",NA,NA
"Otu00339",NA,NA
"Otu00340","Bacteroides","vulgatus"
"Otu00341",NA,NA
"Otu00342",NA,NA
"Otu00343",NA,NA
"Otu00344",NA,NA
"Otu00345",NA,NA
"Otu00346",NA,NA
"Otu00347","Aestuariibacter","aggregatus"
"Otu00348",NA,NA
"Otu00349",NA,NA
"Otu00350","Aquimarina","litoralis"
"Otu00351",NA,NA
"Otu00353",NA,NA
"Otu00354",NA,NA
"Otu00356",NA,NA
"Otu00357",NA,NA
"Otu00358",NA,NA
"Otu00359",NA,NA
"Otu00360",NA,NA
"Otu00361",NA,NA
"Otu00362",NA,NA
"Otu00363",NA,NA
"Otu00365",NA,NA
"Otu00366",NA,NA
"Otu00367",NA,NA
"Otu00368",NA,NA
"Otu00369",NA,NA
"Otu00370",NA,NA
"Otu00371",NA,NA
"Otu00373",NA,NA
"Otu00374",NA,NA
"Otu00375","Caulobacter","profundus"
"Otu00376",NA,NA
"Otu00377",NA,NA
"Otu00378","Bacteroides","faecichinchillae/faecis/finegoldii/thetaiotaomicron"
"Otu00379","Vibrio","fortis/nigripulchritudo"
"Otu00380",NA,NA
"Otu00381",NA,NA
"Otu00382",NA,NA
"Otu00383","Bacteroides","oleiciplenus/stercorirosoris"
"Otu00384",NA,NA
"Otu00385",NA,NA
"Otu00386",NA,NA
"Otu00387",NA,NA
"Otu00388",NA,NA
"Otu00389",NA,NA
"Otu00390",NA,NA
"Otu00391","Tenacibaculum","amylolyticum/jejuense"
"Otu00392",NA,NA
"Otu00393",NA,NA
"Otu00394",NA,NA
"Otu00395",NA,NA
"Otu00397",NA,NA
"Otu00398",NA,NA
"Otu00400",NA,NA
"Otu00401","Anaerocella","delicata"
"Otu00403",NA,NA
"Otu00404",NA,NA
"Otu00405",NA,NA
"Otu00406",NA,NA
"Otu00408",NA,NA
"Otu00409",NA,NA
"Otu00410",NA,NA
"Otu00411",NA,NA
"Otu00412",NA,NA
"Otu00413",NA,NA
"Otu00414",NA,NA
"Otu00415",NA,NA
"Otu00417",NA,NA
"Otu00419",NA,NA
"Otu00420",NA,NA
"Otu00421","Novosphingobium","aromaticivorans"
"Otu00422",NA,NA
"Otu00423",NA,NA
"Otu00424",NA,NA
"Otu00425","Acidovorax","anthurii/delafieldii/facilis"
"Otu00426",NA,NA
"Otu00427","Shimia","isoporae/marina"
"Otu00428",NA,NA
"Otu00430",NA,NA
"Otu00431",NA,"dubius/faviae/litorea"
"Otu00432",NA,NA
"Otu00433",NA,NA
"Otu00434",NA,NA
"Otu00435",NA,NA
"Otu00436",NA,NA
"Otu00437",NA,NA
"Otu00439",NA,NA
"Otu00440",NA,NA
"Otu00441",NA,NA
"Otu00442",NA,NA
"Otu00443",NA,NA
