"","Genus","Species"
"Otu00001",NA,NA
"Otu00002",NA,NA
"Otu00003",NA,NA
"Otu00005","Prochlorococcus","marinus"
"Otu00006",NA,NA
"Otu00007",NA,NA
"Otu00008",NA,NA
"Otu00009","Flavobacterium","cheonhonense"
"Otu00010",NA,NA
"Otu00011",NA,NA
"Otu00013","Alteromonas","alvinellae/australica/gracilis/litorea/macleodii/marina/mediterranea/simiduii/tagae"
"Otu00014","Acaryochloris","marina"
"Otu00015",NA,NA
"Otu00018",NA,NA
"Otu00020",NA,NA
"Otu00021",NA,"aestuarianus/alginolyticus/antiquarius/atypicus/azureus/campbellii/coralliilyticus/diabolicus/fluvialis/fortis/galatheae/harveyi/hyugaensis/jasicida/mediterranei/midae/mytili/natriegens/neocaledonicus/nereis/owensii/parahaemolyticus/pelagius/qinhuangdaora/rotiferianus/sagamiensis/sonorensis/thiocycli/variabilis/vulnificus"
"Otu00022",NA,NA
"Otu00023",NA,NA
"Otu00024","Ruegeria","atlantica/lacuscaerulensis/pomeroyi"
"Otu00025",NA,NA
"Otu00026","Pseudoalteromonas","agarivorans/antarctica/arctica/citrea/distincta/elyakovii/espejiana/flavipulchra/gracilis/haloplanktis/issachenkonii/marina/nigrifaciens/paragorgicola/spongiae/translucida"
"Otu00027",NA,NA
"Otu00028",NA,NA
"Otu00030",NA,NA
"Otu00031","Epibacterium","ulvae"
"Otu00032",NA,NA
"Otu00033",NA,NA
"Otu00034",NA,"halocynthiae/italica"
"Otu00035",NA,NA
"Otu00036",NA,NA
"Otu00037",NA,NA
"Otu00038","Bacillus","altitudinis/amyloliquefaciens/firmus/halotolerans/licheniformis/mojavensis/siamensis/subtilis/tequilensis/timonensis/vallismortis/velezensis"
"Otu00039",NA,NA
"Otu00040",NA,"epoxidivorans/mathurense/naphthae"
"Otu00041","Methyloversatilis","discipulorum/universalis"
"Otu00042",NA,NA
"Otu00043",NA,NA
"Otu00044",NA,NA
"Otu00045",NA,NA
"Otu00046",NA,NA
"Otu00047",NA,NA
"Otu00048","Geobacter","lovleyi/thiogenes"
"Otu00049",NA,NA
"Otu00050","Prevotella","copri"
