sample_number,sampleID,genus,phylum,nutrient_source,nutrient_percent,treatment,tank,experiment,type,description,notes,project,contact
61,PF_H_T2_C1,Caulerpa,Green,Deep Sea Water,2.5,High Flow,Tank 2,12hr Pulsed Flume,limu,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling trip,Ocean Era Nov22,Sean and Nic
69,PF_H_T2_C2,Caulerpa,Green,Deep Sea Water,2.5,High Flow,Tank 2,12hr Pulsed Flume,limu,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling trip,Ocean Era Nov22,Sean and Nic
103,PF_H_T2_WA,Caulerpa water,Green,Deep Sea Water,2.5,High Flow,Tank 2,12hr Pulsed Flume,filter,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling water,Ocean Era Nov22,Sean and Nic
30,PF_L_T1_C1,Caulerpa,Green,Deep Sea Water,2.5,Low Flow,Tank 1,12hr Pulsed Flume,limu,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling trip,Ocean Era Nov22,Sean and Nic
54,PF_L_T1_C2,Caulerpa,Green,Deep Sea Water,2.5,Low Flow,Tank 1,12hr Pulsed Flume,limu,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling trip,Ocean Era Nov22,Sean and Nic
123,PF_L_T1_WA,Caulerpa,Green,Deep Sea Water,2.5,Low Flow,Tank 1,12hr Pulsed Flume,filter,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling water,Ocean Era Nov22,Sean and Nic
1,PF_L_T2_C1,Caulerpa,Green,Deep Sea Water,2.5,Low Flow,Tank 2,12hr Pulsed Flume,limu,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling trip,Ocean Era Nov22,Sean and Nic
8,PF_L_T2_C2,Caulerpa,Green,Deep Sea Water,2.5,Low Flow,Tank 2,12hr Pulsed Flume,limu,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling trip,Ocean Era Nov22,Sean and Nic
107,PF_L_T2_WA,Caulerpa,Green,Deep Sea Water,2.5,Low Flow,Tank 2,12hr Pulsed Flume,filter,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling water,Ocean Era Nov22,Sean and Nic
73,PF_M_T1_C1,Caulerpa,Green,Deep Sea Water,2.5,Medium Flow,Tank 1,12hr Pulsed Flume,limu,Caulerpa in nightly pulsed deep sea water flume at different flow rates,Nov sampling trip,Ocean Era Nov22,Sean and Nic
