sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17
16S_28	45	4	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
16S_28_r	65	6	0	11	2	4	3	1	0	5	1	3	0	1	0	0	0	0
16S_29	99	15	2	4	9	2	4	3	4	2	1	3	1	0	0	0	0	0
16S_2	248	3	10	9	6	11	10	8	4	8	2	9	8	3	1	0	2	0
16S_30	529	46	34	44	33	36	27	20	26	34	24	17	7	6	2	2	0	2
16S_31	693	54	59	48	58	41	38	30	38	35	19	22	14	11	2	2	0	0
16S_32	892	79	103	131	117	94	90	88	71	89	75	54	37	28	9	17	1	5
16S_33	623	24	34	40	29	40	32	34	33	27	30	25	23	11	8	3	1	1
16S_34	544	39	42	56	62	62	38	23	23	14	23	26	17	12	8	7	1	2
16S_35	12	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_35_r	27	3	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0
16S_36	414	22	23	17	21	28	14	20	14	10	14	13	4	2	1	3	2	0
16S_37	11	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
16S_37_r	36	4	2	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0
16S_38	331	22	13	15	19	17	9	4	7	9	3	8	7	4	1	1	2	2
16S_39	1309	127	156	161	158	124	118	104	91	74	58	67	38	22	15	14	5	2
16S_3	1345	140	175	167	180	148	114	121	113	94	80	60	38	20	11	14	2	3
16S_40	583	59	69	85	96	64	45	50	45	42	34	17	29	10	7	8	5	3
16S_41	131	13	3	8	3	3	5	7	6	4	5	6	6	1	0	1	0	0
16S_42	283	8	11	18	17	11	10	8	3	8	13	11	3	1	2	1	0	0
16S_43	65	8	1	0	1	0	1	2	3	0	1	2	0	0	0	0	0	0
16S_44	1003	37	66	99	57	65	57	27	45	44	31	32	16	19	10	10	2	3
16S_45	879	56	64	82	78	65	71	49	34	51	25	26	23	18	6	7	4	1
16S_46	211	20	14	26	17	10	13	8	5	6	12	7	1	3	1	2	0	0
16S_47	1028	94	105	120	93	59	79	77	54	42	41	36	11	14	7	6	3	1
16S_48	667	62	76	73	56	41	40	49	36	38	32	34	18	13	6	8	3	3
16S_49	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16S_49_r	159	11	3	8	5	5	3	4	1	5	0	3	1	1	1	0	0	0
16S_4	180	16	7	8	12	7	9	13	10	9	7	3	3	1	1	2	0	1
16S_50	160	4	7	5	9	4	3	3	5	4	6	4	3	1	0	0	0	0
16S_51	119	6	4	0	3	7	4	3	8	2	1	5	0	1	0	0	0	0
16S_51_r	162	9	3	10	16	13	10	6	8	9	10	0	6	1	0	1	0	2
16S_52	132	9	0	3	1	3	4	1	2	4	1	1	1	1	1	0	1	1
16S_52_r	138	11	2	13	3	5	6	5	3	2	1	2	2	1	1	1	0	0
16S_53	532	26	34	37	31	29	16	22	15	14	7	9	10	2	3	2	1	0
16S_53_r	338	15	28	18	23	15	9	10	11	6	6	7	1	4	2	1	0	0
16S_54	137	6	2	7	3	4	4	1	3	7	2	2	2	1	1	1	0	0
16S_54_r	83	3	1	8	6	3	0	0	0	5	4	4	0	0	0	0	0	0
16S_55	1397	107	156	182	154	154	149	140	128	98	83	76	42	28	13	17	5	2
16S_56	166	18	4	8	12	3	10	8	5	7	6	3	3	1	0	4	0	1
16S_57	188	9	7	7	16	6	4	8	3	5	6	7	6	3	1	0	0	0
16S_58	365	23	20	37	20	31	27	19	31	20	13	11	9	6	2	4	2	0
16S_59	578	38	30	45	27	38	29	24	26	22	19	18	3	6	2	3	1	2
16S_5	856	81	66	101	74	60	53	61	36	35	19	28	18	19	8	4	0	1
16S_60	1025	62	71	95	108	63	74	53	49	57	37	40	22	26	12	11	7	0
16S_61	210	26	9	21	13	4	9	6	3	6	1	1	4	0	0	0	0	0
16S_62	1259	102	109	115	121	100	94	105	85	82	45	46	35	28	13	15	3	3
16S_63	396	38	30	32	36	27	20	28	15	30	14	12	4	7	1	0	0	0
16S_64	156	16	9	3	9	8	7	8	15	5	5	9	3	4	0	0	0	0
16S_65	260	52	24	40	30	24	24	26	17	22	17	13	2	7	2	2	1	0
16S_66	366	24	14	44	34	22	23	22	22	15	8	6	6	4	1	1	1	1
16S_67	94	12	1	1	5	5	5	4	4	4	1	2	3	0	1	0	0	1
16S_68	106	11	2	0	6	5	6	2	5	2	4	5	0	1	0	0	0	0
