"Sample"	"3.1-Dereplication"	"3.2-Denoising"	"4-ESV"
"16S_95"	"149763 (22298 uniques)"	"149392 (79 uniques)"	"149136 (74 uniques)"
"16S_96"	"5634 (2472 uniques)"	"5262 (271 uniques)"	"4642 (193 uniques)"
"16S_96_r"	"14607 (5830 uniques)"	"14219 (338 uniques)"	"13796 (306 uniques)"
"16S_97"	"20336 (4880 uniques)"	"20032 (151 uniques)"	"19865 (136 uniques)"
"16S_97_r"	"19225 (5441 uniques)"	"19044 (102 uniques)"	"18867 (85 uniques)"
"16S_98"	"81 (73 uniques)"	"31 (6 uniques)"	"15 (4 uniques)"
"16S_98_r"	"32768 (6929 uniques)"	"32410 (280 uniques)"	"31938 (230 uniques)"
"16S_99"	"130097 (30685 uniques)"	"129118 (356 uniques)"	"127208 (311 uniques)"
"16S_9"	"74934 (28430 uniques)"	"73713 (573 uniques)"	"71212 (462 uniques)"
"16S_P1_NTC2"	"1027 (474 uniques)"	"942 (12 uniques)"	"900 (8 uniques)"
"16S_P1_NTC"	"733 (394 uniques)"	"657 (14 uniques)"	"646 (12 uniques)"
"16S_P1_ext_neg"	"15779 (5175 uniques)"	"15630 (33 uniques)"	"15570 (30 uniques)"
"16S_P1_mPNA_NTC"	"6367 (2288 uniques)"	"6257 (16 uniques)"	"5973 (14 uniques)"
"16S_P1_mock"	"74103 (20006 uniques)"	"73547 (203 uniques)"	"71687 (462 uniques)"
"16S_P237_NOV_2020"	"21721 (4720 uniques)"	"21495 (32 uniques)"	"21400 (27 uniques)"
"16S_P26_NOV_2020"	"79136 (15997 uniques)"	"78520 (69 uniques)"	"78025 (58 uniques)"
"16S_P2_NTC1"	"73 (72 uniques)"	"2 (1 uniques)"	"2 (1 uniques)"
"16S_P2_NTC1_pPNA"	"5183 (1988 uniques)"	"5081 (22 uniques)"	"5055 (23 uniques)"
"16S_P2_NTC2"	"160 (123 uniques)"	"77 (8 uniques)"	"69 (7 uniques)"
"16S_P2_NTC2_pPNA"	"832 (442 uniques)"	"737 (8 uniques)"	"736 (8 uniques)"
"16S_P2_ext_neg_1"	"13093 (4508 uniques)"	"12885 (21 uniques)"	"12811 (24 uniques)"
"16S_P2_ext_neg_2"	"14428 (4337 uniques)"	"14260 (34 uniques)"	"14147 (37 uniques)"
"16S_P2_mock"	"58179 (18584 uniques)"	"57336 (174 uniques)"	"54638 (395 uniques)"
"16S_P2_mock_pPNA"	"214740 (56841 uniques)"	"213727 (287 uniques)"	"208564 (665 uniques)"
"16S_P41_NOV_2020"	"32440 (9211 uniques)"	"32179 (93 uniques)"	"31903 (83 uniques)"
"16S_P42_NOV_2020"	"74435 (16233 uniques)"	"73897 (304 uniques)"	"73181 (272 uniques)"
"16S_P43_NOV_2020"	"119962 (34911 uniques)"	"119320 (110 uniques)"	"118275 (101 uniques)"
"16S_P44_NOV_2020"	"67920 (21585 uniques)"	"67530 (57 uniques)"	"67363 (80 uniques)"
